plant_id,meter_id,meter_reading,date,created_at,data_availability,guid
11701955,11848078,166084984,2024-10-08 16:00:28.932948 UTC,2024-10-08 16:00:28.932953 UTC,1,
11701955,11848078,253879750,2025-01-26 16:00:29.879058 UTC,2025-01-26 16:00:29.879062 UTC,1,
11701955,11848078,241524312,2025-01-11 16:00:29.948733 UTC,2025-01-11 16:00:29.948738 UTC,1,
11701955,11848078,242391265,2025-01-12 16:00:30.259680 UTC,2025-01-12 16:00:30.259685 UTC,1,
11701955,11848078,189483812,2024-11-09 16:00:28.287614 UTC,2024-11-09 16:00:28.287619 UTC,1,
11701955,11848078,152395484,2024-09-11 18:05:00.000000 UTC,2024-09-12 20:55:00.000000 UTC,1,
11701955,11848078,267236500,2025-02-13 16:00:20.405303 UTC,2025-02-13 16:00:20.405308 UTC,1,
11701955,11848078,239413375,2025-01-09 16:00:30.455838 UTC,2025-01-09 16:00:30.455888 UTC,1,
11701955,11848078,202026265,2024-11-26 16:00:28.398332 UTC,2024-11-26 16:00:28.398338 UTC,1,
11701955,11848078,162862296,2024-10-02 16:00:28.779258 UTC,2024-10-02 16:00:28.779263 UTC,1,
11701955,11848078,311987687,2025-03-29 16:00:32.047842 UTC,2025-03-29 16:00:32.047842 UTC,1,
11701955,11848078,230194218,2024-12-28 16:00:32.041708 UTC,2024-12-28 16:00:32.041716 UTC,1,
11701955,11848078,213519875,2024-12-10 16:00:31.914757 UTC,2024-12-10 16:00:31.914763 UTC,1,
11701955,11848078,269259468,2025-02-15 16:00:19.447198 UTC,2025-02-15 16:00:19.447204 UTC,1,
11701955,11848078,306314187,2025-03-26 16:00:32.778982 UTC,2025-03-26 16:00:32.778982 UTC,1,
11701955,11848078,157277953,2024-09-19 16:00:28.359266 UTC,2024-09-19 16:00:28.359272 UTC,1,
11701955,11848078,221558921,2024-12-18 16:00:31.326195 UTC,2024-12-18 16:00:31.326202 UTC,1,
11701955,11848078,202818453,2024-11-27 16:00:28.808677 UTC,2024-11-27 16:00:28.808683 UTC,1,
11701955,11848078,270108812,2025-02-16 16:00:19.434157 UTC,2025-02-16 16:00:19.434162 UTC,1,
11701955,11848078,340510562,2025-04-16 16:00:39.547541 UTC,2025-04-16 16:00:39.547541 UTC,,
11701955,11848078,291651000,2025-03-08 16:00:32.154833 UTC,2025-03-08 16:00:32.154833 UTC,1,
11701955,11848078,178109390,2024-10-27 16:00:28.662869 UTC,2024-10-27 16:00:28.662875 UTC,1,
11701955,11848078,258099625,2025-02-02 16:00:31.983713 UTC,2025-02-02 16:00:31.983718 UTC,1,
11701955,11848078,164284640,2024-10-06 16:00:28.377704 UTC,2024-10-06 16:00:28.377709 UTC,1,
11701955,11848078,256956203,2025-01-31 16:00:30.280977 UTC,2025-01-31 16:00:30.280982 UTC,1,
11701955,11848078,184431718,2024-11-03 16:00:28.391506 UTC,2024-11-03 16:00:28.391512 UTC,1,
11701955,11848078,297988687,2025-03-15 16:00:32.498518 UTC,2025-03-15 16:00:32.498518 UTC,1,
11701955,11848078,204067078,2024-11-29 16:00:31.008235 UTC,2024-11-29 16:00:31.008253 UTC,1,
11701955,11848078,192622062,2024-11-12 16:00:29.513930 UTC,2024-11-12 16:00:29.513936 UTC,1,
11701955,11848078,263302437,2025-02-08 16:00:21.070721 UTC,2025-02-08 16:00:21.070727 UTC,1,
11701955,11848078,215943468,2024-12-13 16:00:29.340558 UTC,2024-12-13 16:00:29.340564 UTC,1,
11701955,11848078,329295093,2025-04-09 16:01:37.323702 UTC,2025-04-09 16:01:37.323702 UTC,1,
11701955,11848078,167320531,2024-10-10 16:00:30.490012 UTC,2024-10-10 16:00:30.490018 UTC,1,
11701955,11848078,244944953,2025-01-15 16:00:29.970005 UTC,2025-01-15 16:00:29.970010 UTC,1,
11701955,11848078,171234640,2024-10-17 16:00:28.378157 UTC,2024-10-17 16:00:28.378164 UTC,1,
11701955,11848078,261208078,2025-02-06 16:00:22.056568 UTC,2025-02-06 16:00:22.056573 UTC,1,
11701955,11848078,176143984,2024-10-24 16:00:29.244514 UTC,2024-10-24 16:00:29.244520 UTC,1,
11701955,11848078,198942203,2024-11-21 16:00:30.267139 UTC,2024-11-21 16:00:30.267145 UTC,1,
