plant_id,created_at,temperature,module_temperature,ambient_temperature,solar_irradiation
1535727,2023-03-11 14:59:34.000000 UTC,26,25,29.4,1
1535727,2023-06-16 15:09:19.000000 UTC,27,25,25.4,1
1535727,2023-04-30 21:39:19.000000 UTC,27,25,25.6,1
1535727,2023-05-26 20:59:19.000000 UTC,27,25,25.6,1
1535727,2023-03-01 12:29:38.000000 UTC,27,25,28.6,1
1535727,2023-03-10 12:34:37.000000 UTC,28,25,27.2,1
1535727,2023-04-03 20:14:19.000000 UTC,26.7,25,25.7,1
1535727,2023-06-12 07:14:19.000000 UTC,27.4,25,25.2,45
1535727,2023-03-28 13:14:19.000000 UTC,28.4,25,27.9,1
1535727,2023-09-23 18:29:25.000000 UTC,27.9,25,26.1,1
1535727,2023-09-23 18:29:25.000000 UTC,27.9,25,26,1
1535727,2023-09-23 18:44:19.000000 UTC,27.9,25,26,1
1535727,2023-04-30 01:13:34.000000 UTC,28.9,25,24.5,165
1535727,2023-04-30 20:44:19.000000 UTC,27.1,25,26.7,1
1535727,2023-06-16 15:09:19.000000 UTC,27.1,25,25.4,1
1535727,2023-04-30 20:44:19.000000 UTC,27.1,25,26.8,1
1535727,2023-09-23 16:22:46.000000 UTC,27.8,25,26.1,0
1535727,2023-03-02 02:09:38.000000 UTC,24,26,24.9,196
1535727,2023-03-04 14:44:38.000000 UTC,24,26,29.1,1
1535727,2023-03-06 14:34:51.000000 UTC,24,26,28.8,1
1535727,2023-03-04 14:30:00.000000 UTC,25,26,28.7,1
1535727,2023-03-12 15:49:33.000000 UTC,25,26,28.3,1
1535727,2023-05-03 12:04:23.000000 UTC,28,26,26.4,2
1535727,2023-04-02 15:04:19.000000 UTC,28,26,26.4,1
1535727,2023-05-01 00:54:19.000000 UTC,29,26,25.9,82
1535727,2023-08-22 20:39:20.000000 UTC,29,26,26.8,0
1535727,2023-08-22 20:39:20.000000 UTC,29,26,26.6,0
1535727,2023-08-22 20:39:20.000000 UTC,29,26,26.6,0
1535727,2023-05-03 21:29:19.000000 UTC,28.5,26,26.6,1
1535727,2023-08-06 13:29:24.000000 UTC,28.5,26,26.5,0
1535727,2023-08-06 13:49:19.000000 UTC,28.5,26,26.5,0
1535727,2023-08-07 19:23:04.000000 UTC,28.5,26,26.7,0
1535727,2023-08-07 19:49:19.000000 UTC,28.5,26,26.6,0
1535727,2023-08-07 19:49:19.000000 UTC,28.5,26,26.4,1
1535727,2023-09-12 21:39:19.000000 UTC,28.5,26,26.8,0
1535727,2023-09-12 21:39:19.000000 UTC,28.5,26,26.8,0
