generation_date,energy_kwh,energy_kwh_filled,expected_kwh,temp,clouds_all,daily_rain_mm,anomaly_hours,pr_daily,energy_30d,expected_30d,pr_30d
2025-05-31 00:00:00+06:00,544.1977840298999,585.72944475955,1629.5580914974323,28.835017361111113,79.93923611111111,13.23,0,0.3339542093463057,707.9898142339401,1628.040149251701,0.4343444661729737
2025-06-01 00:00:00+06:00,426.6536418347,449.09395899095,1613.5894691511437,27.590746527777778,86.45833333333333,45.36,0,0.26441275801034353,690.93274318425,1627.2107262559864,0.42413189935459933
2025-06-02 00:00:00+06:00,654.2960630122001,714.7430491257,1615.12763582389,28.117430555555558,83.33333333333333,9.48,0,0.40510486508915333,694.4118045250633,1626.5613245206946,0.4264985173331954
2025-06-03 00:00:00+06:00,946.2908229537,972.84046147365,1622.803045425669,28.255434027777778,74.375,2.38,0,0.583121177656826,671.1864620934666,1625.4781589341358,0.41238706763085364
2025-06-04 00:00:00+06:00,416.1460968679,649.6135413268491,1604.7830645714382,26.93579861111111,81.25,33.18,0,0.259316106989846,662.8523410453234,1624.4069590500242,0.40746502258488376
2025-06-05 00:00:00+06:00,461.5431558612,919.5613860269625,1621.1746203074163,28.10083333333333,73.37326388888889,0.15,0,0.28469675633935076,668.5876435563034,1623.6817946863905,0.41120102956529947
2025-06-06 00:00:00+06:00,827.732811052,827.4322369131,1623.013351952341,28.682291666666668,47.21006944444445,1.69,0,0.5099975364073936,660.8161072147833,1622.5610219060045,0.4066976424023435
2025-06-07 00:00:00+06:00,737.0618301242,737.0326057353,1634.7609735837873,29.943871527777777,43.45659722222222,0.0,0,0.45086825660413465,654.0789530520467,1621.935442644936,0.402666250685262
2025-06-08 00:00:00+06:00,721.3669490055,900.0094034037716,1638.6476141433775,30.71953125,35.20138888888889,0.5,0,0.4402209131354963,656.6297530154368,1621.1832451303155,0.4044616691284881
2025-06-09 00:00:00+06:00,0.0,1587.4115928279664,1641.0517862994698,31.420034722222223,47.092013888888886,0.42,0,0.0,651.2899702693534,1620.5728455258525,0.401345333501464
2025-06-10 00:00:00+06:00,562.7946564709,1377.6994904074593,1641.903530742751,31.527569444444442,50.564236111111114,2.22,0,0.3427696243617355,658.8760399688833,1619.5147297607498,0.4063478659403196
2025-06-11 00:00:00+06:00,1168.9611405185,1272.47951597375,1632.9967283772387,30.469288194444445,58.310763888888886,1.32,0,0.7158380174344466,657.5726298970966,1618.5829779009794,0.4058160404869821
2025-06-12 00:00:00+06:00,1167.7117563888,1167.6804910666,1634.0150640861868,31.12925347222222,58.623263888888886,0.0,0,0.7146272895848949,653.1438117249268,1617.2068979938279,0.4036492813003649
2025-06-13 00:00:00+06:00,994.4918126759,994.4150147407,1637.5840401177168,31.834184027777777,42.541666666666664,0.0,0,0.607292076811161,657.0714995738833,1616.0310884693076,0.4064866421560778
2025-06-14 00:00:00+06:00,368.6102923818,372.1114421948,1629.0964942069477,30.91956597222222,78.83506944444444,2.17,0,0.22626670285804115,679.2962835057001,1615.5183862406063,0.42048679070375244
2025-06-15 00:00:00+06:00,550.5503383247,551.5399180427501,1617.680954210273,29.505416666666665,75.04166666666667,2.12,0,0.34033307797301116,697.7620829496567,1615.1793796934355,0.43209936196092863
2025-06-16 00:00:00+06:00,962.4105323231,1004.0885374499001,1614.178205519943,29.037118055555556,77.83333333333333,2.25,0,0.5962232230815543,706.12670519244,1613.8605282124984,0.43763716040066
2025-06-17 00:00:00+06:00,292.6259176274,318.43564448045,1599.311557594256,27.79715277777778,89.5,11.0,0,0.18296992617722263,721.9429238039434,1613.1745846540753,0.4476795199378896
2025-06-18 00:00:00+06:00,479.2165282667,508.1562048472,1595.7294349592735,27.391006944444445,85.41666666666667,15.16,0,0.300311893587982,719.9054309577666,1612.2328488383546,0.44663596546775314
2025-06-19 00:00:00+06:00,707.0281764763,763.91653115365,1599.202197453717,27.93904513888889,76.0,0.0,0,0.44211305962563396,710.0566159990799,1611.0871859825213,0.44085621034954803
2025-06-20 00:00:00+06:00,610.4659012592,625.2438557953,1596.9491290206859,27.866822916666667,77.875,2.3600000000000003,0,0.3822700987560966,718.1960729606833,1610.0301271272263,0.44620470876448554
2025-06-21 00:00:00+06:00,479.757193664,513.30915913235,1606.0516884688077,29.092083333333335,76.04166666666667,1.02,0,0.298718401847574,729.9244624081667,1608.57972135249,0.45390047111815696
2025-06-22 00:00:00+06:00,802.4984235961,826.0440015961,1607.3337365768475,29.44411458333333,69.53993055555556,0.11,0,0.4992730540859472,733.4471006501334,1606.8251680971155,0.4567134623749573
2025-06-23 00:00:00+06:00,723.9595192291,772.42476791375,1606.9245501091973,29.618402777777778,59.541666666666664,2.69,0,0.45052489812287944,726.9290347531334,1604.3775386630557,0.4532455854806166
2025-06-24 00:00:00+06:00,908.6646030476,956.65905271055,1604.4894928888323,29.419270833333332,69.37673611111111,0.0,0,0.5663263032103616,710.1228290116101,1601.552773030589,0.44323037323204983
2025-06-25 00:00:00+06:00,750.7367245609,789.16807840955,1601.6832897672846,29.449531250000003,74.45833333333333,0.1,0,0.46871733591600234,716.5047572493534,1598.412961191741,0.4473561110727148
2025-06-26 00:00:00+06:00,1011.9124089823,1097.74830625915,1601.3917668627269,29.447100694444444,58.498263888888886,0.41000000000000003,0,0.631895598517238,708.7742907733134,1595.3386506896886,0.44304766601212164
